25-jährige;25-year-old
 gar;at all
 davon;from that
 gestern;yesterday
 geben;give
 Teil;Part
 Polizei;Police
 dass;that
 hätte;would have
 eigenen;own
 kaum;barely
 sieht;looks
 große;size
 Denn;Because
 weitere;Further
 sehen;see
 macht;makes
 Angaben;information
 weniger;fewer
 gerade;just
 läßt;leaves
 Geld;Money
 München;Munich
 deutsche;German
 allen;all
 darauf;thereon
 wohl;well
 später;later
 könne;could
 deshalb;that's why
 aller;all
 kam;came
 Arbeit;Job
 mich;me
 gegenüber;across from
 nächsten;next
 bleibt;remains
 wenig;little
 lange;Long
 gemacht;made
 Fall;Case
 mir;me
 gehen;go
 Berliner;Berliner
 mal;times
 Weg;Path
 CDU;CDU
 wollte;wanted
 sechs;six
 keinen;no
 Woche;Week
 dagegen;on the other hand
 alten;old
 möglich;possible
 gilt;applies
 erklärte;explained
 müsse;must
 könnten;could
 Geschichte;Story
 zusammen;together
 finden;Find
 Tag;Day
 Art;Art
 erhalten;receive
 Man;Man
 Dollar;Dollar
 Wochen;week
 jeder;everyone
 nie;never
 bleiben;stay
 besonders;especially
 Jahres;year
 Deutschen;German
 Den;The
 Zu;To
 zunächst;first
 derzeit;currently
 allein;alone
 deutlich;clear
 Entwicklung;Development
 weiß;White
 einige;some
 sollten;should
 Präsident;President
 geworden;become
 statt;instead of
 Bonn;Bonn
 Platz;Place
 inzwischen;now
 Nur;Just
 Freitag;Friday
 pro;Per
 seines;his
 Montag;Monday
 Europa;Europe
 schließlich;after all
 Sonntag;Sunday
 einfach;easy
 gehört;belongs
 eher;rather
 oft;often
 Zahl;Number
 neben;Next
 hält;holds
 weit;far
 Partei;Party
 meisten;most
 Thema;Theme
 zeigt;shows
 Politik;Politics
 Aus;Out
 zweiten;second
 Januar;January
 insgesamt;a total of
 je;ever
 mußte;had to
 Anfang;Beginning
 hinter;Behind
 ebenfalls;also
 ging;walked
 Mitarbeiter;Employee
 darüber;about that
 vielen;many
 Ziel;Aim
 darf;may
 Seite;Page
 fest;firmly
 hin;back
 erklärt;explained
 Namen;name
 Haus;House
 An;At
 Frankfurt;Frankfurt
 Gesellschaft;Society
 Mittwoch;Wednesday
 damals;back then
 Dienstag;Tuesday
 Hilfe;Help
 Mai;May
 Markt;Market
 Tage;days
 Donnerstag;Thursday
 halten;hold
 gleich;equal
 nehmen;to take
 solche;such
 Entscheidung;Decision
 besser;better
 alte;old
 Leute;People
 Ergebnis;Result
 Samstag;Saturday
 sagen;say
 System;System
 März;March
 tun;do
 Monaten;months
 kleinen;small
 lang;long
 knapp;almost
 bringen;bring
 wissen;knowledge
 Kosten;Costs
 Erfolg;Success
 bekannt;known
 findet;place
 daran;it
 künftig;future
 wer;who
 acht;eight
 Grünen;green
 schnell;fast
 Grund;Reason
 scheint;seems
 Zukunft;Future
 Stuttgart;Stuttgart
 bin;am
 liegen;lie
 politischen;policy
 Gruppe;Group
 Rolle;Role
 stellt;sets
 Juni;June
 sieben;seven
 September;September
 nämlich;namely
 Männer;Men
 Oktober;October
 Mrd.;bn .
 überhaupt;at all
 eigene;own
 gegeben;given
 Stunden;hours
 eigentlich;actually
 Meter;Meter
 ließ;left
 Probleme;problems
 vielleicht;maybe
 ebenso;as well
 Bereich;Area
 zum;to the
 Beispiel;Example
 Höhe;Height
 Familie;Family
 Bild;Image
 Ländern;countries
 Informationen;Information
 Frankreich;France
 Tagen;days
 schwer;heavy
 zuvor;before
 genau;I agree
 April;April
 stellen;put
 neu;New
 erwartet;expected
 Hamburg;Hamburg
 sicher;for sure
 führen;to lead
 Mal;Times
 mehrere;several
 Wirtschaft;Economy
 Mio;million
 Programm;Program
 offenbar;apparently
 Hier;Here
 weiteren;further
 natürlich;Naturally
 konnten;could
 stark;strong
 Dezember;December
 Juli;July
 ganze;whole
 kommenden;coming
 Kunden;Customer
 bekommen;to get
 eben;just
 kleine;small
 trotz;despite
 wirklich;for real
 Lage;Location
 Länder;Countries
 leicht;light
 gekommen;come
 Spiel;Game
 laut;according to
 November;November
 kurz;short
 politische;political
 führt;leads
 innerhalb;within
 meint;means
 immer;always
 wieder;again
 Form;Shape
 Münchner;Munich
 AG;AG
 anders;different
 ihres;her
 völlig;completely
 beispielsweise;for example
 gute;quality
 bislang;so far
 August;August
 Hand;Hand
 jede;each
 GmbH;GmbH
 Film;Movie
 Minuten;minutes
 erreicht;reached
 beide;both
 Musik;Music
 Kritik;Criticism
 Mitte;Center
 Verfügung;available
 Buch;Book
 dürfen;allowed
 jeweils;each
 einigen;some
 Umsatz;Sales
 spielen;play
 Daten;Dates
 welche;Which
 müßten;would
 hieß;said
 paar;pair
 nachdem;after this
 Kunst;Art
 Euro;Euro
 gebracht;brought
 Problem;Problem
 jeden;each
 Ihre;Your
 Sprecher;Speaker
 recht;Law
 erneut;again
 längst;a long time ago
 europäischen;European
 Sein;Be
 Eltern;Parents
 Beginn;beginning
 besteht;consists
 Seine;His
 mindestens;at least
 machte;made
 Jetzt;Now
 bietet;offers
 außerdem;also
 Bürger;citizens
 Trainer;Trainer
 bald;soon
 Deutsche;German
 Fragen;Ask
 klar;clear
 Seiten;Pages
 gehören;belong
 erstmals;the first time
 Februar;February
 zeigen;demonstrate
 Titel;Title
 Stück;Piece
 größten;largest
 FDP;FDP
 setzt;puts
 Wert;Value
 Frankfurter;Frankfurt
 Staat;Country
 möchte;would like to
 daher;therefore
 wolle;wool
 Bundesregierung;Federal Government
 lediglich;only
 Nacht;Night
 Krieg;War
 Opfer;Victim
 Tod;Death
 nimmt;increases
 Firma;Company
 zuletzt;last
 Werk;Plant
 hohen;high
 leben;Life
 unter;under
 anderem;others
 Kirche;Church
 weiterhin;Farther
 gebe;give
 gestellt;posed
 Mitglieder;members
 Rahmen;Frame
 zweite;second
 Paris;Paris
 Situation;Situation
 gefunden;found
 Wochenende;Weekend
 internationalen;international
 Wasser;Water
 Recht;Law
 sonst;otherwise
 stand;was standing
 Hälfte;Half
 Möglichkeit;Possibility
 versucht;tries
 blieb;remained
 junge;Boy
 Mehrheit;Majority
 Straße;Road
 Sache;Thing
 arbeiten;work
 Monate;months
 Mutter;Mother
 berichtet;reports
 letzte;latest
 Gericht;Dish
 wollten;wanted to
 Ihr;Your
 zwölf;twelve
 zumindest;at least
 Wahl;Choice
 genug;enough
 Weise;Wise
 Vater;Father
 Bericht;Report
 amerikanischen;American
 hoch;high
 beginnt;begins
 Wort;Word
 obwohl;although
 Kopf;Head
 spielt;plays
 Interesse;Interest
 Westen;West
 verloren;lost
 Preis;Price
 jedem;each
 erreichen;to reach
 setzen;put
 spricht;speaks
 früher;earlier
 teilte;shared
 Landes;country
 zudem;also
 einzelnen;single
 bereit;ready
 Blick;views
 Druck;Pressure
 Bayern;Bavaria
 Kilometer;Kilometre
 gemeinsam;together
 Bedeutung;Importance
 Chance;Chance
 Politiker;Politician
 Zwei;Two
 besten;best
 Ansicht;View
 endlich;Finally
 Stelle;Location
 direkt;directly
 Bevölkerung;Population
 solchen;such
 Alle;All
 solle;should
 jungen;boys
 Einsatz;Commitment
 richtig;correct
 größte;largest
 sofort;immediately
 neuer;new
 ehemaligen;former
 unserer;our
 dürfte;expected
 schaffen;create
 Augen;Eyes
 Rußland;Russia
 Internet;Internet
 Raum;Room
 Mannschaft;Team
 neun;nine
 kamen;came
 Ausstellung;Exhibition
 Zeiten;times
 Dem;the
 einzige;only one
 meine;my
 Nun;Now
 Verfahren;method
 Angebot;Offer
 Richtung;Direction
 Projekt;Project
 niemand;nobody
 Kampf;Struggle
 weder;neither
 tatsächlich;indeed
 Personen;People
 Heute;Today
 geführt;guided
 Gespräch;Conversation
 Kreis;Circle
 Hamburger;Hamburger
 Schule;School
 guten;good
 Hauptstadt;Capital
 durchaus;certainly
 Zusammenarbeit;Collaboration
 darin;therein
 Amt;Office
 Schritt;Step
 meist;most
 groß;big
 zufolge;According
 Sprache;Language
 Region;Region
 Punkte;Points
 Vergleich;Comparison
 genommen;taken
 gleichen;same
 du;you
 Ob;If
 Soldaten;Soldiers
 Universität;University
 verschiedenen;different
 Kollegen;Colleagues
 neues;new
 Bürgermeister;Mayor
 Angst;Anxiety
 stellte;set
 Sommer;Summer
 danach;after that
 anderer;another
 gesagt;said
 Sicherheit;Safety
 Macht;Makes
 Bau;Construction
 handelt;acting
 Folge;Episode
 Bilder;Images
 lag;lay
 Osten;East
 Handel;Trade
 sprach;spoke
 Aufgabe;Task
 Chef;Boss
 frei;free
 dennoch;yet
 DDR;GDR
 hohe;height
 Firmen;Company
 bzw;or
 Koalition;Coalition
 Mädchen;Girl
 entwickelt;developed
 fand;found
 Diskussion;Discussion
 bringt;brings
 Hause;home
 Gefahr;Danger
 per;by
 zugleich;at the same time
 früheren;earlier
 dadurch;thereby
 ganzen;whole
 abend;Eve
 erzählt;tells
 Streit;Argument
 Vergangenheit;Past
 Parteien;parties
 Verhandlungen;Negotiations
 jedenfalls;in any case
 gesehen;seen
 französischen;French
 Trotz;Despite
 darunter;including
 Spieler;Player
 forderte;demanded
 Beispiel;Example
 Meinung;Opinion
 wenigen;a few
 Publikum;Audience
 sowohl;either
 meinte;said
 mag;like
 Auto;Automobile
 Lösung;Solution
 Boden;Ground
 Präsidenten;President
 hinaus;addition
 verletzt;injured
 weltweit;worldwide
 Sohn;Son
 bevor;before
 Peter;Peter
 mußten;had
 keiner;none
 Produktion;Production
 Ort;Place
 braucht;needs
 Zusammenhang;Context
 Kind;Child
 Verein;Society
 sprechen;speak
 Aktien;Shares
 gleichzeitig;at the same time
 London;London
 sogenannten;so-called
 Richter;judges
 geplant;planned
 Italien;Italy
 Mittel;Medium
 her;ago
 freilich;of course
 Mensch;Human
 großer;greater
 Bonner;Bonn
 wenige;few
 öffentlichen;public
 Unterstützung;Support
 dritten;third
 nahm;took
 Bundesrepublik;Federal Republic
 Arbeitsplätze;jobs
 bedeutet;means
 Feld;Field
 Dr.;Dr .
 Bank;Bank
 oben;above
 gesetzt;set
 Ausland;Foreign countries
 Ministerpräsident;Prime Minister
 Vertreter;representatives
 z.B.;for example
 jedes;each
 ziehen;pull
 Parlament;Houses of Parliament
 berichtete;reported
 China;China
 aufgrund;due
 Stellen;Put
 warum;Why
 Kindern;children
 heraus;out
 heutigen;today
 Anteil;Proportion of
 Herr;Sir
 Öffentlichkeit;Public
 Abend;Eve
 Liebe;Love
 rechnen;expect
 fällt;falls
 New;New
 York;York
 Industrie;Industry
 Stuttgarter;Stuttgart
 wären;would
 Vorjahr;Previous year
 Sicht;View
 Idee;Idea
 Banken;banks
 verlassen;leave
 Leiter;Ladder
 Bühne;Stage
 insbesondere;especially
 offen;open
 stets;always
 Theater;Theatre
 ändern;to change
 entschieden;decided
 Staaten;States
 Experten;Experts
 Gesetz;Law
 Geschäft;Business
 Tochter;Daughter
 angesichts;in the face
 gelten;be valid
 Mehr;More
 erwarten;expect
 läuft;running
 fordert;asks
 Japan;Japan
 Sieg;Victory
 Stimmen;Be right
 wählen;choose
 russischen;Russian
 gewinnen;win
 CSU;CSU
 bieten;Offer
 Nähe;close
 jährlich;yearly
 Bremen;Bremen
 Schüler;Student
 Rede;Speech
 Funktion;Function
 Zuschauer;Spectator
 hingegen;on the other hand
 anderes;other
 Führung;Guide
 Besucher;visitors
 Drittel;One-third
 Moskau;Moscow
 immerhin;after all
 Vorsitzende;chairman
 Urteil;Judgment
 Kultur;Culture
 betonte;emphasized
 mittlerweile;now
 Saison;Season
 Konzept;Concept
 suchen;search
 Zahlen;Numbers
 Roman;Novel
 Gewalt;Violence
 Köln;Cologne
 gesamte;whole
 indem;by
 EU;EU
 Stunde;Hour
 ehemalige;former
 Auftrag;Assignment
 entscheiden;decide
 genannt;called
 tragen;carry
 Börse;exchange
 langen;long
 häufig;frequently
 Chancen;Opportunities
 vor;in front
 allem;everything
 Position;Position
 alt;old
 Luft;Air
 Studenten;Students
 übernehmen;take
 stärker;stronger
 ohnehin;anyway
 zeigte;showed
 geplanten;planned
 Reihe;Line
 darum;therefore
 verhindern;prevent
 begann;started
 Medien;Media
 verkauft;sold
 Minister;Minister
 wichtig;important
 amerikanische;American
 sah;saw
 gesamten;whole
 einst;once
 verwendet;used
 vorbei;past
 Behörden;authorities
 helfen;help
 Folgen;Consequences
 bezeichnet;designated
 Ihnen;Them
 zur;for
 Zeit;Time
 voll;full
 deutscher;German
 Worten;words
 plötzlich;suddenly
 müßte;would
 Vertrag;Contract
 Staatsanwaltschaft;prosecutor's Office
 Monat;Month
 Oder;Or
 Herbst;Autumn
 Israel;Israel
 zahlen;numbers
 Zeitung;Newspaper
 Grenzen;borders
 Wissenschaftler;Scientist
 Partner;Partner
 Patienten;patients
 nutzen;use
 Bund;Federation
 setzte;set
 Betrieb;Business
 Michael;Michael
 beteiligt;involved
 Professor;Professor
 Fernsehen;Watch TV
 Künstler;Artist
 mehreren;more
 erinnert;remind
 Liste;List
 Möglichkeiten;Possibilities
 Autor;Author
 täglich;Every day
 eingesetzt;used
 Versuch;Attempt
 Alter;Older
 Autos;Cars
 Kohl;cabbage
 außer;except
 Hoffnung;Hope
 Verkauf;Sale
 nennt;is called
 erscheint;appear
 führte;led
 Prozeß;Process
 Täter;perpetrators
 bisherigen;previous
 länger;longer
 erkennen;recognize
 treffen;to meet
 unser;our
 begonnen;began
 Antrag;application
 beschäftigt;employed
 Opposition;Opposition
 Maßnahmen;Activities
 brachte;brought
 nächste;next
 gezeigt;shown
 Sinn;Sense
 Erde;Earth
 gefordert;required
 Wohnung;Flat
 all;Alles
 Menge;Amount
 gerne;with pleasure
 Hintergrund;Background
 hören;hear
 Deutschlands;Germany
 selten;Rare
 bestätigt;approved
 bestimmt;certainly
 Statt;Instead of
 entstehen;arise
 nannte;called
 schreibt;writes
 Union;Union
 brauchen;need
 gewählt;selected
 Kraft;Force
 elf;eleven
 trägt;wearing
 zieht;draws
 Grenze;Border
 Geschäftsführer;Managing Director
 Team;Team
 Gebäude;Building
 Tonnen;Metric tons
 Wettbewerb;Competition
 Anspruch;Claim
 Polen;Poland
 morgen;tomorrow
 Bremer;Bremer
 Wegen;Because of
 Gebiet;Area
 glaubt;believes
 Sa;Sat
 Natur;Nature
 Arbeiten;Work
 jene;those
 Fällen;cases
 Jahrhundert;Century
 leisten;Afford
 Zeitpunkt;Time
 internationale;international
 mein;my
 Konkurrenz;Competitor
 nach;after
 wie;as
 vor;in front
 nicht;Not
 einmal;once
 stieg;rose
 notwendig;necessary
 sogenannte;so-called
 fahren;drive
 kostet;costs
 entsprechenden;appropriate
 geplante;planned
 geschlossen;closed
 Fehler;Error
 Zweifel;Doubt
 Erklärung;Statement
 wiederum;in turn
 erschienen;appeared
 gehe;go
 Glück;Happiness
 erfolgreich;successful
 fehlt;is missing
 Gruppen;Groups
 Aktion;Action
 kündigte;announced
 meinen;mean
 manchmal;sometimes
 verschiedene;various
 übernommen;accepted
 möglichst;possible
 SZ;SZ
 lieber;Dear
 Verantwortung;Responsibility
 Gespräche;Conversations
 Suche;Search
 gern;gladly
 fallen;fall
 Organisation;Organization
 Preise;Prices
 weitgehend;largely
 Basis;Base
 Computer;Computer
 aufgenommen;added
 Schutz;Protection
 Eindruck;Impression
 fiel;fell
 nahe;Near
 schlecht;bad
 lebt;lives
 Verhältnis;Relationship
 Forderung;Demand
 britischen;British
 sozialen;social
 Technik;Technology
 entstanden;arisen
 Vorstand;Board
 verantwortlich;responsible
 of;of
 bestimmten;specific
 jüngsten;youngest
 geboren;born
 erhält;obtained
 wobei;in which
 Gegner;Opponent
 Gründen;Establish
 Material;Material
 Spitze;Top
 Gewinn;earnings
 Punkten;points
 vertreten;represented
 Schulen;Schools
 Studie;Study
 Zeichen;Character
 gewonnen;won
 Kurs;Course
 Washington;Washington
 Türkei;Turkey
 Erfahrungen;Experience
 wirkt;acts
 Armee;Army
 erhielt;received
 beginnen;begin
 bißchen;little
 entfernt;away
 vorgesehen;intended
 Ergebnisse;Results
 zahlreiche;numerous
 entgegen;opposite
 hielt;held
 privaten;private
 sucht;examined
 Gemeinde;Local community
 Antwort;Answer
 Zentrum;Center
 bilden;form
 legen;lay
 Schweiz;Switzerland
 gemeinsamen;common
 weg;path
 teilweise;partially
 Großbritannien;Great Britain
 Licht;Light
 Hannover;Hannover
 Produkte;Products
 Stimme;Voice
 diesmal;this time
 Schluß;Ending
 gingen;walked
 angeboten;available
 Gesicht;Face
 Treffen;To meet
 ließen;left
 eröffnet;opened
 versuchen;to attempt
 Konzern;Group
 Leistungen;Services
 Gäste;Guests
 Wohnungen;Apartments
 möglicherweise;may
 wichtige;important
 zog;moved
 geraten;devices
 Bewegung;Move
 nötig;necessary
 Mitglied;Member
 hundert;hundred
 Düsseldorf;Dusseldorf
 PDS;PDS
 wahrscheinlich;probably
 vermutlich;probably
 selber;himself
 ständig;constantly
 Senat;Senate
 Branche;industry
 Journalisten;journalists
 enthält;contains
 laufen;to run
 Straßen;roads
 Einführung;Introduction
 arbeitet;is working
 verlangt;demands
 Werke;works
 Runde;Round
 Besuch;Visit
 unterstützt;supported
 Manager;Manager
 Brüssel;Brussels
 de;de
 schweren;heavy
 sitzt;sitting
 geschrieben;written
 jemand;someone
 französische;French
 Wachstum;Growth
 taz;taz
 bestimmte;certain
 Drei;Three
 Freiheit;Freedom
 entsprechende;appropriate
 kennt;knows
 Band;Tape
 Arbeitgeber;Employer
 glauben;believe
 Wege;Ways
 verurteilt;sentenced
 tritt;occurs
 Volk;People
 Pläne;Plans
 R;R
 angekündigt;announced
 Satz;Sentence
 sitzen;sit
 Vorschlag;Suggestion
 rechnet;expects
 muss;got to
 erhöht;elevated
 Investitionen;investments
 Aufgaben;Tasks
 warten;waiting
 entdeckt;detected
 wichtigsten;main
 Heimat;Homeland
 verstehen;understand
 schrieb;wrote
 trotzdem;Nevertheless
 erfahren;experience
 Unternehmens;company
 frühere;earlier
 bekommt;gets
 Jugendlichen;young people
 Dinge;things
 öffentliche;public
 Institut;Institute
 Wirkung;Effect
 sorgen;to care
 trifft;meets
 reden;talk
 Werte;Values
 Forscher;researchers
 Wo;Where
 Sitzung;Meeting
 zusätzlich;in addition
 vielmehr;much more
 Anlaß;Occasion
 gehalten;held
 Tel.;Tel .
 Schweizer;Swiss
 beschlossen;decided
 Serben;Serbs
 Bundestag;Bundestag
 Verwaltung;Administration
 vorher;before
 automatisch;automatically
 betont;emphasized
 Leistung;Power
 abgeschlossen;completed
 zufrieden;satisfied
 Beschäftigten;employees
 Papier;Paper
 Thomas;Thomas
 Verbindung;Connection
 Sinne;sense
 ziemlich;quite
 Debatte;Debate
 enthalten;contain
 ausschließlich;exclusively
 bestehen;consist
 Flüchtlinge;Refugees
 Jugendliche;young people
 Freund;Friend
 A;A
 Themen;Subjects
 überall;all over
 droht;threatening
 Gewerkschaften;trade unions
 Bedingungen;Conditions
 Beziehungen;Relationships
 Text;Text
 europäische;European
 Punkt;Point
 Erfahrung;Experience
 I;I
 Außenminister;Foreign Minister
 soziale;social
 russische;Russian
 Tisch;Table
 Republik;Republic
 höher;higher
 reicht;enough
 Million;Million
 gehabt;had
 politisch;politically
 folgen;consequences
 ähnlich;similar
 geschaffen;created
 Schaden;Damage
 erster;first
 Körper;Body
 Amerikaner;American
 getötet;killed
 Frieden;Peace
 zählt;one
 Beteiligung;participation
 Wagen;Dare
 Bahn;Train
 vergessen;to forget
 Verlust;Loss
 Tiere;animals
 Museum;Museum
 gegründet;founded
 daraus;thereof
 Start;Begin
 Kontrolle;Control
 Einfluß;Influence
 Österreich;Austria
 Norden;North
 Wunsch;Wish
 manche;some
 Wahlen;Elections
 Reise;Travel
 steigen;climb
 gemeinsame;common
 Darstellung;Presentation
 Demokratie;Democracy
 König;King
 England;England
 nennen;call
 Teile;parts
 Jahrhunderts;century
 denken;think
 Name;Surname
 Lehrer;Teacher
 S.;S .
 laufenden;ongoing
 verbunden;connected
 Qualität;Quality
 zusätzliche;additional
 Widerstand;Resistance
 schön;beautiful
 Spanien;Spain
 gegangen;went
 Beamten;officials
 Europas;Europe
 Freunde;friends
 mitteilte;announced
 erklären;to explain
 Familien;Familys
 Gerade;Just
 gefallen;like
 Aktie;Share
 Krise;Crisis
 Baden-Württemberg;Baden-Wuerttemberg
 Nummer;Number
 wies;dismissed
 außerhalb;outside
 gestiegen;gone up
 Reform;Reform
 Literatur;Literature
 Arbeitslosigkeit;Unemployment
 Lebens;life
 Sozialdemokraten;Social Democrats
 gewann;won
 Moment;Moment
 angeblich;allegedly
 entsprechend;corresponding
 Mill;Mill
 weiteres;additional
 beträgt;is
 dritte;third
 wesentlich;essential
 Amerika;America
 Insel;Island
 britische;British
 Nachfolger;Successor
 entspricht;corresponds
 dahin;then
 unseren;our
 solcher;such
 Juden;Jews
 Sport;Sports
 Rathaus;Town hall
 verkaufen;Selling
 größere;larger
 Frühjahr;Spring
 gebaut;built
 Wahrheit;Truth
 dar;group
 Kommission;Commission
 Polizisten;Police officers
 Bosnien;Bosnia
 offensichtlich;obviously
 Grundlage;Basis
 relativ;relative
 Nein;No
 Klasse;Class
 tut;does
 hängt;hangs
 wenigstens;at least
 aktuellen;current
 Modell;Model
 Herstellung;manufacture
 hinzu;added
 Gedanken;Thoughts
 Übernahme;Takeover
 entwickeln;develop
 Quartal;Quarter
 meiner;my
 dürften;expected
 jener;that
 Zustimmung;Approval
 legt;sets
 fordern;demand
 Einheit;Unit
 blieben;remained
 Laut;According to
 in;in
 Zukunft;Future
 Szene;Scene
 Klaus;Klaus
 Bundeskanzler;Chancellor
 Schwierigkeiten;Difficulties
 geblieben;remained
 lesen;read
 getroffen;met
 keineswegs;by no means
 Abschluß;Graduation
 Verlag;Publishing company
 Interessen;Interests
 Netz;Network
 anschließend;subsequently
 Plan;Plan
 Ausbildung;Education
 befindet;is
 zunehmend;increasingly
 verzichten;renounce
 gespielt;played
 ermittelt;determined
 legte;put
 Ruhe;Quiet
 Hans;Hans
 Händler;distributors
 genutzt;used
 höhere;higher
 starke;Strength
 treten;to step
 Veranstaltung;Event
 Stimmung;Mood
 Ärzte;Doctors
 erheblich;considerably
 standen;stood
 Teilnehmer;Member
 möchten;want
 starken;strengthen
 Forderungen;Requirements
 Stand;Was standing
 Anlage;Investment
 siehe;please refer
 erfolgt;he follows
 Vertrieb;Distribution
 beste;best
 gelungen;succeeded
 Ordnung;Order
 Andreas;Andreas
 lautet;reads
 kritisiert;criticized
 Schröder;Schröder
 machten;made
 verstärkt;strengthened
 Süden;South
 Haltung;Attitude
 freien;free
 weist;comprises
 nahezu;nearly
 Motto;Motto
 abgelehnt;declined
 gelang;succeeded
 gezogen;drawn
 frühen;early
 schreiben;write
 aufs;onto
 gleiche;same
 öffentlich;public
 Häuser;Houses
 kleiner;smaller
 folgt;follows
 Einer;a
 Ja;Yes
 Wien;Vienna
 möglichen;possible
 weiterer;Another
 kaufen;to buy
 Gefühl;Feeling
 wirtschaftlichen;economic
 Initiative;Initiative
 hofft;hopes
 dürfe;should
 Person;Person
 Telekom;Telekom
 kennen;know
 interessiert;Interested
 Beitrag;Post
 Geschäftsjahr;Financial year
 lernen;learn
 gefragt;asked
 bezeichnete;designated
 Meister;Master
 Bücher;Books
 kürzlich;recently
 Tradition;Tradition
 einzelne;single
 Vorsitzender;chairman
 Verband;Association
 Grüne;green
